Text,Category
"Amidst escalating trade tensions with the US, fueled by Trump's tariffs, China is seeking new markets, particularly India. Despite past border clashes and investment restrictions, Chinese companies are now showing flexibility, accepting minority stakes and technology transfers to access India's growing market and potentially bypass US tariffs through Indian manufacturing.Trump tariffs push Chinese giants to bow to India's terms",tech
"Prime Minister Narendra Modi and US Vice President JD Vance convened to discuss trade, defence, technology, and global issues. Both leaders assessed the progress in India-US cooperation, anticipating a mutually beneficial trade agreement. PM Modi conveyed greetings to President Trump, expressing anticipation for his visit to India later this year.PM Modi-VP Vance hold bilateral talks: Key takeaways",tech
"Australian legend Steve Waugh has urged Rohit Sharma to introspect about his commitment to Indian cricket and captaincy, especially with the England Test series looming. Waugh emphasised the importance of Test cricket's survival amidst the T20 rise and opposed a two-tier World Test Championship (WTC) format, fearing it would widen the gap between cricketing nations.'You can't be complacent': Former Australian captain warns Rohit Sharma",sport
"To shield its steel industry from a surge in inexpensive imports, the Indian government has implemented a 12% safeguard duty on specific alloy and non-alloy steel flat products. This action, welcomed by the Union Minister, aims to alleviate pressure on domestic manufacturers, particularly SMEs, facing market distortions due to increased foreign steel inflows.India imposes 12% duty on steel products to curb unwanted imports",business
"US stocks plummeted amid trade war anxieties fueled by President Trump's policies and Federal Reserve criticism, triggering investor flight. The Dow Jones, Nasdaq, and S&amp;P 500 experienced significant declines, while the VIX surged, reflecting heightened market volatility. Gold prices rose as investors sought safe-haven assets, while the US dollar weakened against major currencies.Trump slams Fed's Powell again as US stocks tumble",business
"Actress Shubhangi Atre is mourning the loss of her former husband, Piyush Poorey, who passed away on Saturday after battling liver cirrhosis. The couple, married for 22 years, had finalized their divorce on February 5th. While they were reportedly not in contact, Shubhangi is deeply saddened by the news. Acknowledging the difficult time, she has requested space to grieve.Shubhangi Atre’s ex husband Piyush Poorey passes away",entertainment
"The BJP has alleged that Hindus in Murshidabad were threatened at gunpoint and forced to chant Islamic slogans during recent violence. Union minister Sukanta Majumdar claims these incidents foreshadow a grim future for Hindus across West Bengal. The BJP IT department also shared a video depicting robbery and arson, highlighting the plight of a family allegedly targeted during the unrest.'Hindus threatened at gunpoint': BJP's big claims on Murshidabad violence",politics
"Pope Francis, the first Jesuit and non-European pontiff in over 1,200 years, passed away on Easter Monday at the age of 88. His papacy, which began in 2013, was defined by his focus on mercy, inclusiveness, and environmental concerns. World leaders are mourning the loss of a figure who championed justice and compassion, while the Vatican prepares for the election of a new pope.Pope Francis dies: World leaders mourn passing away of 'beacon of hope'",politics
"Across Vidarbha, Yavatmal's Phanse Pardhi settlements face a severe water crisis as temperatures soar. Women risk their lives daily, walking kilometers to fetch water from uncovered wells due to the failure of government schemes and lack of infrastructure. Classified as encroachments, these communities are excluded from basic amenities, highlighting the urgent need for government intervention to alleviate their suffering.Women forced to walk miles in 44°C heat to fetch drinking water in Yavatmal",politics
"No mention in PMO statement of testy tariff and visa revocation issues, TRUST technology partnership‘Significant progress’ in Bilateral Trade Agreement talks as Modi welcomes Vance",tech
"Coinciding with Prime Minister Narendra Modi’s Madhubani visit on April 24, the Opposition alliance’s leadership has planned a two-day meetingBihar Mahagathbandhan’s rank and file to meet",politics
MSME Minister Srinivas emphasises equitable deployment of SERP staff across all districts,politics
"‘PM, Union Education Minister must clarify on Maharashtra CM’s claim on third language’",politics
Revenue Minister says construction of houses will be completed in 2025Minister welcomes SC order dismissing Elstone Estate management petition,politics
Health Minister slams ‘ghost faculty’ practice in private medical colleges,politics
"Government was fully equipped for the ongoing Rabi 2024–25 paddy procurement, with all necessary infrastructure, in place across the State, says Minister for IrrigationTelangana Rythu Mahotsavam in Nizamabad assures desilting of Nizamsagar and SRSP soon",politics
